method,n,i,j,x,y,u1,u2
SRT,12,4,11,0.375,0.9583333333333333,-0.6258524552011157,-1.4014805269728748e-14
SRT,12,5,0,0.4583333333333333,0.041666666666666664,0.6258524552010721,-7.035280486523111e-15
SRT,12,5,1,0.4583333333333333,0.125,1.7098607056510966,4.035054973525653e-15
SRT,12,5,2,0.4583333333333333,0.20833333333333331,2.3357131608522055,-2.1575101554432603e-15
SRT,12,5,3,0.4583333333333333,0.2916666666666667,2.3357131608521966,3.697358357773697e-15
SRT,12,5,4,0.4583333333333333,0.375,1.7098607056510946,1.1904632624302738e-14
SRT,12,5,5,0.4583333333333333,0.4583333333333333,0.6258524552010698,-2.3751657350062007e-15
SRT,12,5,6,0.4583333333333333,0.5416666666666666,-0.6258524552011125,1.097408701914292e-15
SRT,12,5,7,0.4583333333333333,0.6249999999999999,-1.7098607056511212,2.8680606129151804e-15
SRT,12,5,8,0.4583333333333333,0.7083333333333333,-2.335713160852221,8.451614796707482e-15
SRT,12,5,9,0.4583333333333333,0.7916666666666666,-2.3357131608522166,8.627408968576825e-15
SRT,12,5,10,0.4583333333333333,0.8749999999999999,-1.7098607056511332,5.84935136873029e-15
SRT,12,5,11,0.4583333333333333,0.9583333333333333,-0.6258524552011101,7.953796698101167e-16
SRT,12,6,0,0.5416666666666666,0.041666666666666664,0.6258524552010737,-1.4549875943693417e-14
SRT,12,6,1,0.5416666666666666,0.125,1.7098607056510866,4.0201971014265625e-15
SRT,12,6,2,0.5416666666666666,0.20833333333333331,2.33571316085219,6.3072386450491994e-15
SRT,12,6,3,0.5416666666666666,0.2916666666666667,2.335713160852197,1.0610282527249038e-14
SRT,12,6,4,0.5416666666666666,0.375,1.7098607056510935,1.6646433908987547e-15
SRT,12,6,5,0.5416666666666666,0.4583333333333333,0.6258524552010718,4.634709421443756e-15
SRT,12,6,6,0.5416666666666666,0.5416666666666666,-0.6258524552011024,7.473152980936042e-15
SRT,12,6,7,0.5416666666666666,0.6249999999999999,-1.7098607056511261,1.6105776564860227e-15
SRT,12,6,8,0.5416666666666666,0.7083333333333333,-2.3357131608522166,8.293055209016847e-15
SRT,12,6,9,0.5416666666666666,0.7916666666666666,-2.3357131608522277,9.174333982722784e-15
SRT,12,6,10,0.5416666666666666,0.8749999999999999,-1.7098607056511272,7.796488952000457e-15
