rate_choice,a_exact,s_plus_exact,n,h,status,e_u2,d2
interior,6/25,3/4,128,0.0078125,regular,0.00024049153384925995,1.8015977190910915e-05
interior,6/25,4/5,96,0.010416666666666666,regular,0.00042761452263046483,2.4467178001297714e-05
interior,6/25,4/5,128,0.0078125,regular,0.00024055460365295269,1.805686321852038e-05
interior,6/25,17/20,96,0.010416666666666666,regular,0.00042771359676023956,2.454471114818344e-05
interior,6/25,17/20,128,0.0078125,regular,0.0002406102548079013,1.8092956936829042e-05
interior,6/25,9/10,96,0.010416666666666666,regular,0.00042780166599170965,2.4613937378230422e-05
interior,6/25,9/10,128,0.0078125,regular,0.0002406597235456294,1.8125051450986023e-05
interior,6/25,19/20,96,0.010416666666666666,regular,0.00042788046743983955,2.467611495626407e-05
interior,6/25,19/20,128,0.0078125,regular,0.00024070398588063043,1.8153774766746124e-05
interior,6/25,1,96,0.010416666666666666,regular,0.0004279513908913679,2.4732261650103215e-05
interior,6/25,1,128,0.0078125,regular,0.00024074382265368917,1.8179630356229118e-05
interior,6/25,21/20,96,0.010416666666666666,regular,0.0004280155614828361,2.4783209833596282e-05
interior,6/25,21/20,128,0.0078125,regular,0.00024077986599806207,1.8203026409173746e-05
interior,6/25,11/10,96,0.010416666666666666,regular,0.0004280738998290766,2.4829646062385057e-05
interior,6/25,11/10,128,0.0078125,regular,0.00024081263312647055,1.8224296452525346e-05
interior,6/25,23/20,96,0.010416666666666666,regular,0.00042812716647713784,2.4872141630448412e-05
interior,6/25,23/20,128,0.0078125,regular,0.0002408425513151049,1.824371809483984e-05
interior,6/25,6/5,96,0.010416666666666666,regular,0.00042817599524566977,2.491117558326458e-05
interior,6/25,6/5,128,0.0078125,regular,0.0002408699766367356,1.8261521214554173e-05
interior,6/25,5/4,96,0.010416666666666666,regular,0.00042822091856299405,2.49471528285179e-05
interior,6/25,5/4,128,0.0078125,regular,0.00024089520819821917,1.8277899884740737e-05
interior,6/25,13/10,96,0.010416666666666666,regular,0.00042826238696411564,2.4980417681871997e-05
interior,6/25,13/10,128,0.0078125,regular,0.00024091849909688138,1.829301820664845e-05
interior,6/25,27/20,96,0.010416666666666666,regular,0.00042830078425126436,2.5011264984402545e-05
